"","date","company","country","city","role","current_or_former","employment_status","employment_length","recommend","outlook","approve_ceo","score_overall","score_career_opp","score_comp_and_benefits","score_culture_and_values","score_senior_mgmt","score_work_life_balance","pros","cons","advice_to_management"
"349",2011-01-03,"Euromonitor","UK","City of London, England "," Industry Analyst","Current  ",NA,NA,"Yes",NA,"Yes",2,2.5,2,NA,4,3,"Exposure to many industries
Ability to learn on your own - as an employee you get access to all data sets, from syndicated to economic data, great resource for someone with interest in economics or finance
Structured research process, detailed briefs and clear schedule
International presence
Laid back atmosphere
Higher level management and sales people are actually quite eloquent","Lack of intellectual curiosity among many analysts
Relatively low pay
Office conditions could be improved
The learning process pretty much stops after a year or so, few people with real industry experience or quantitative modeling skills
The knowledge sharing between departments could be better","Overall, I think the management is doing a good job structuring the research, particularly in developing the research support systems and the front end system. They could try more to attract and retain talent, perhaps by proactively moving people among departments and offices, for temporary positions, bonuses linked with performance, etc."
"350",2010-12-15,"Euromonitor",NA,NA," Anonymous ","Current  ",NA,NA,"No",NA,"No",2,3,1.5,NA,1,3.5,"International & dynamic workforce,
Social, relaxed environment,
High y-o-y growth (20+%),
Wide range of methodologies / industry verticals,
High level of autonomy,
High level of client retention,","High workforce turnover,
Uncompetitive benefits,
Below average wages,
Inability to retain talent,
Poor training environment,
Inexperienced management,
Inconsistencies in management practices,
Inability to capitalize on low-hanging fruit,
Male dominant management,
Lack of leadership/vision from HQ","Hiring and hanging onto talented staff during times of high growth should not be difficult. While healthcare coverage and other financial perks are important, an environment based on a meritocracy and the recognition of hard work is as important as ever."
"351",2010-09-05,"Euromonitor","US","Chicago, IL "," Business Development","Current  ",NA,NA,NA,NA,"No",4,2.5,3,NA,1,5,"-Fun, multi-cultural environment
-Pretty solid job security
-Great place to develop knowledge on market analytics and research
-Great place to develop experience and launch your career
-Pretty laid-back work environment
-Good, high-quality product compared to competition","-Extremely inexperienced (externally) and ultimately inept management and senior management
-Very little advancement opportunities. There is no career path here. The career path is gaining industry experience at Euromonitor and then moving on to another company that does promote.
-Very unpolished sales process and sales structure
-Company is at a turning point where they have grown and they are confused …  about direction going forward, which is concerning.Show More","The advice is to acknowledge your lack of professional inexperience outside of Euromonitor by using more proactive employee feedback mechanisms. You hire experienced and/or MBA grads that could help you better manage but for some reason, you continue to stumble continuously displaying your lack of professional business management knowledge."
"352",2010-06-30,"Euromonitor","UK","London, England "," Senior Research Analyst","Current  ",NA,NA,NA,NA,"Neutral",3,3,2,NA,3,4,"- flexible regarding time off and working from home
- extra 'free' holidays over christmas
- young, multicultural office","- not enough training
- little feedback on work and performance
- promotions are heavily subject to office politics, rather than merit
- relatively low pay
- management is not necessarily supportive","Place more emphasis on supporting staff and give genuine incentives to perform well, rather than approaches such as 'going home an hour early on Friday if everyone meets this deadline'."
"353",2010-06-24,"Euromonitor","US","Chicago, IL "," Client Consultant","Current  ",NA,NA,"Yes",NA,"Yes",4,3.5,4,NA,3,5,"International & Diverse Co-Workers
Global Perspective
Comprehensive, High Quality Product
F100 Clients, Senior Level Executives
Flexibility to Bring & Suggest New Ideas
Ability to Leverage Strategic Thinking with Client Base
Interesting Project Work with High Client Impact
Higher than Average Earning Potential At Target
Understanding and Flexible Management Team
Lots of Untapped …  Potential With Clients
Autonomous Work Environment
Growing 20+% a yearShow More","Frustrating, not exploiting all potential revenue opportunities
Management learning how to be a mid-sized company, though starting to build in new processes to help
Not a typical sales culture, more of a research/product led company
Need more marketing & PR. Better branding would help expose more executives to our offerings
Need better work force planning","Hire more people! We want the company to be ready for lots of new projects."
"354",2010-06-15,"Euromonitor",NA,NA," Research Analyst","Former  ",NA,NA,"No",NA,"No",1,1,1,NA,1,1,"There is not too much pros. Maybe you can write on your CV that you worked for this company, and hope get another job in the same industry.","The company is extremely stingy. They hire only freelancers for market research reports and data gathering. Most of them are students, housewives and part-timers. Full-time employees at this company are not competent enough either, in order to fulfill the requirement of the project. So, don't buy their report either. They are cutting too much cost, while not hiring full-time analysts. There is no training or …  whatsoever. Never work for this company and buy reports from them!Show More","Hire full-time analysts. That's all I can say."
"355",2010-03-24,"Euromonitor","US","Chicago, IL "," Client Consultant","Current  ",NA,NA,"Yes",NA,"Yes",4,1,3.5,NA,2.5,4,"Very relaxed, young environment
People from all over the world work here, great experience
The office is amazing
Not micro-managed
Team building events are fun
Lots of vacation time, European style
Unlimited sick days","Promotion structure very flat, not a lot of growth opportunities even if you do well. The best chance in sales is to move from sales to a team lead or manager position, which isn't a real promotion in the sense.
Communication between offices is poor
No calibration between offices. In terms of sales, it is cut throat between the two","Management should take a class or session on sales, leadership, or management to keep up with the growth of the company. Some are still operating as if the company has not changed in the last 10 years. The company has grown and continues to. I think the sales approach needs to be adjusted to continue the growth in the near future."
"356",2009-02-18,"Euromonitor","UK","City of London, England "," Manager","Current  ",NA,NA,"Yes",NA,"Yes",5,4,4,NA,4,5,"Very nice culture. Friendly colleagues, laid back atmosphere and interesting work. As a market research firm, projects can be about pretty much anything which makes work here very varied . Management are senior professionals with many years experience and the culture is to maintain very good relationships with clients rather than think about the short term and sell more services.
Multicultural atmosphere and very …  talented people. Good internal training courses as well as occasional external courses.Show More","Brand value isn't that high yet and might take a few more years. Other than that, there aren't that many downsides.","Invest more in marketing and PR department."
"357",2008-11-12,"Euromonitor",NA,NA," Market Research Analyst","Former  ",NA,NA,"Yes",NA,"Yes",5,5,5,NA,5,5,"Great people. Challenging tasks. The people are great and you learn something new everyday. They offer opportunities to do some international work even if you do not travel. A team I was on was working with people from around the world. Very quantitative work so you get to really stretch your intellectual capacity.","Not too many bad things. The people are great and you learn something new everyday. If you like to get out of the office, this probably is not the place. Most of the work is done in the office with a few trips for presentations. Overall, though there weren't oo many bad things.","None."
"358",NA,"Euromonitor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"359",2019-04-12,"GfK",NA,NA," Anonymous ","Former  ","Part-time",NA,NA,NA,NA,4,NA,NA,NA,NA,NA,"Better workplace
Nice leadership and culture","Better working conditions can be done","No."
"360",2019-04-09,"GfK",NA,NA," Intern","Former  ","Full-time","Less than a year","Yes","Positive","Yes",4,4,4,4,4,4,"friendly people and good work hours","pretty empty office, very quiet",NA
"361",2019-04-09,"GfK",NA,NA," Anonymous ","Former  ","Full-time",NA,"Yes","Positive","Yes",4,2,2,5,5,2,"Proactive, forward looking, embracing of change, top client base, unique products, great offices","does not hold on to talent, low pay, some laggard silos, bottom heavy","attract talent, pay more, consult off your products"
"362",2019-04-11,"GfK","UK","London, England "," Project Accountant","Current  ","Full-time","More than 3 years",NA,NA,NA,3,3,3,3,3,3,"Very good culture all round","Hard work and the company is not very profitable",NA
"363",2019-04-12,"GfK","UK","London, England "," Anonymous ","Current  ","Full-time","More than a year","No","Positive","Neutral",3,3,1,3,3,3,"Good selection of people
Good office location
Potential for very strong growth
Warren is very personal","Male senior hierarchy and favouritism
Lack of communication and support for the rest of the company
Staff retention not good and positions not being replaced
Gender pay gap
Too much focus on new business ideas rather than fixing the current services and solutions - without these company cannot grow further","Learn the value of your staff and invest in them or the business won't be able to grow"
"364",2019-03-27,"GfK","United Arab Emirates","Dubai "," Field Auditor","Former  ","Full-time","More than a year",NA,NA,NA,4,NA,NA,NA,NA,NA,"Flexibility, Exploring new areas, Getting to know Market Insights etc.","Growth was limited in the field area",NA
"365",2019-03-22,"GfK","Russia","Moscow "," Junior Consultant","Former  ","Full-time","More than a year","Yes",NA,NA,4,3,3,4,3,3,"Team work
Project management
Salary is fine for the market
Large international Clients
IT equipment
Atmosphere and environment","Work-life balance
management
Location
Low prospects
Horizontal development
You are required to sale while you were told that you will be an analyst",NA
"366",2019-03-12,"GfK",NA,NA," Anonymous ","Current  ","Full-time",NA,"Yes","Positive","Yes",4,3,3,3,3,5,"Best balance between personal & professional life","No career growth plans locally or internationally",NA
"367",2019-03-10,"GfK",NA,NA," Anonymous ","Former  ","Part-time",NA,"Yes","Positive","Yes",5,5,4,4,3,4,"Flexible hours also great employees","That it closed down which left me redundant",NA
"368",2019-03-05,"GfK",NA,NA," Anonymous ","Former  ","Full-time","More than 5 years","Yes","Negative","No",4,3,2,3,2,4,"Lots of really nice people","Salary below market average despite years of being with the company",NA
"369",2019-03-20,"GfK",NA,NA," Anonymous ","Former  ","Full-time",NA,"No","Neutral","Neutral",3,3,2,2,2,1,"ability to learn a lot about market research, good exposure to various statistical analysis and research tools","a lot of politics involved, difficult to advance, company direction and strategy changing every year, promoting more German people into top management positions",NA
"370",2019-04-02,"GfK",NA,NA," Anonymous ","Current  ","Full-time","More than a year","No","Negative","No",1,1,1,1,1,1,"Flexible working ...and nothing else","KKR picking away at the company piece by piece, soon there won't be anything else, and very little gain to show for it. GfK is being dragged into the ground, is a shadow of what it used to be. Due to staff cuts, teams are overstretched and demoralised, and there seems to be no end in sight. Experienced staff have been made redundant when the company needs them most. Management don't seem to care one jot about the …  staff they have left.Show More","No advice, just a question... how long do you expect people to put up with being treated like this?"
"371",2019-03-11,"GfK",NA,NA," Vice President","Current  ","Full-time","More than 3 years",NA,NA,"Neutral",3,3,4,2,3,4,"New streamlined organization should allow for more focus and quicker decision making.
Very smart people with passion for research.
Investment in innovation, especially out of Europe.","Streamlined organization still searching for efficiencies.
Lots of turnover in past 18-24 months.","Communicate new strategy for region and tie in global. Get the efficiencies required to be competiive."
"372",2019-03-10,"GfK",NA,NA," Anonymous ","Former  ",NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,"Good team spirit! The best","Could be more carrear planning",NA
"373",2019-02-19,"GfK","Philippines","Makati City "," Anonymous ","Former  ","Full-time","More than 5 years","Yes","Positive","Yes",5,3,4,5,5,4,"Good salary & benefits, strong regional support","flat organization, limited career advancement","Keep-up the good work, specially in HR Team (Regional and local)"
"374",2019-02-19,"GfK","Germany","Nuremberg "," IT Architect","Current  ","Full-time","More than 3 years","Yes","Positive","Neutral",5,5,5,5,5,5,"Nice colleagues, office, salary, benefits","nothing, everything is ok in the company","more benefits, higher salary,"
"375",2019-02-18,"GfK","Switzerland","Lausanne "," Surveyor","Former  ","Part-time","More than a year","Yes","Neutral","Neutral",4,2,4,4,3,5,"Nice team. Part-time and flexible schedule ideal for students.","Working at night and dealing with angry people on the phone.",NA
"376",2019-02-14,"GfK",NA,NA," Anonymous ","Current  ","Full-time","More than a year",NA,NA,NA,5,NA,NA,NA,NA,NA,"Flat hierarchies, initiatives encouraged, great people","Don't think there are any cons",NA
"377",2019-02-26,"GfK","Russia","Moscow "," Consultant","Current  ",NA,"More than a year","No","Neutral","No",3,3,3,3,1,4,"Due to hiring requirements such as good University and the preference towards candates with some sort of international education, the team consists of very interesting and professional people.
Work-life balance is decent - you can minimize the overtime if you optimize your time at the office.
Decent health insurance and flexibility in vacation time.","Salaries are slightly below the market average. Promotion process does not depend on the performance almost at all but heavily depends on management's sympathies. Management overall is not very supportive.
The supporting departmemts such as legal, finance, etc are also not helpful enough which is mostly due to the understaffing rather than actually bad performance. The situation when half a day or an entire day …  of a marketing consultant is spend on drafting a contract for a client is unacceptable.Show More","Complete the distinction between sales teams and marketing insights teams."
"378",2019-02-12,"GfK",NA,NA," Research Manager","Former  ","Full-time","More than 3 years","No","Negative","No",4,3,3,3,2,2,"Everything about working at GfK was right - right people, environment conducive to learning, everybody's share of fun, yearly offsites.

I mention 'was' as research at GfK has died an unfortunate death.","Work life balance was a myth","There is no 'management' to give advice to.. LOL!!"
"379",2019-02-26,"GfK",NA,NA," Anonymous ","Former  ","Full-time",NA,"No","Negative","Neutral",3,2,3,3,2,2,"Skilled colleagues, variety of solutions, good intellectual challenge, POS panel still a good standard and a captivating tool, lots of interesting initiatives","Solutions' pricing is way too high, internal politics goes against business development initiatives and clients expectations, digital transition has yet to happen, awful 90s business mentality, academic DNA from researchers often not aligned with market expectations, HQ location","Relocate HQ in a more future and business-friendly city"
"380",2019-02-20,"GfK",NA,NA," Anonymous ","Current  ","Full-time",NA,"No","Neutral","Neutral",3,2,3,1,3,5,"Recognised brand name within specific client industries. Enjoys a monopolistic position with some industries.

Reasonable pace. Work-life balance.
Easy-going expense claim culture","Not competitive salary.
poor organisation culture of not taking-risk. This is because everyone is ready to place blame on one another. Teams and people work in silos; focus on protecting own job.","Client-centric? not at all"
"381",2019-02-08,"GfK","Romania","Bucharest "," Client Services","Current  ","Full-time","More than 8 years","Yes",NA,NA,4,3,4,3,3,4,"salary on time, basic trainings, good location","corrupt syndicate, poor human management",NA
"382",2019-02-20,"GfK","Serbia","Belgrade "," Research Consultant","Former  ","Full-time","More than 5 years","Yes","Positive","Neutral",3,3,2,2,3,3,"- working for big players in the industry
- great pool of knowledge to learn from","- not agile
- competitive
- lower salaries","Don't allow seniors to leave so easily."
"383",2019-02-17,"GfK","UK","London, England "," Anonymous ","Former  ","Full-time","More than 3 years","Yes","Negative",NA,3,3,3,4,2,5,"Very strong in custom research capabilities.","Very centralised structure...all important decisions - even about key client relationships in smaller markets like Asia.
Top management is really old and has a very dated view of the progress of market research.","the research world has moved well beyond what they think of."
"384",2019-01-31,"GfK","Israel","Tel Aviv-Yafo "," Aircraft Cleaner","Current  ","Full-time","More than a year","Yes","Positive",NA,5,3,3,5,3,5,"Because the payment is good","There is no downside","No idea"
"385",2019-01-30,"GfK",NA,NA," Anonymous ","Former  ",NA,"Less than a year",NA,NA,"Yes",5,5,5,5,5,5,"Good environment, good for working","sometimes long hours, but nothing horrible",NA
"386",2019-01-27,"GfK","India","Kolkata "," Senior Executive","Current  ","Full-time","More than 10 years","No","Neutral","Neutral",4,3,3,2,3,4,"Good payout to the employees","New openings not available in last years","Manpower Crisis"
"387",2019-02-06,"GfK",NA,NA," Anonymous ","Former  ","Full-time",NA,"No","Negative","No",2,1,3,1,1,2,"It used to be a great place to work until a private equity firm made a significant investment in the company and took it private.","The company is in complete disarray at the moment. It is making too many cuts and letting too many talented people go. The decision to sell off four profitable business units to Ipsos was a blunder of epic proportions.",NA
"388",2019-02-05,"GfK",NA,NA," Anonymous ","Former  ","Full-time",NA,NA,NA,NA,3,NA,NA,NA,NA,NA,"Fun environment lot of learning","Long hours
Top management issues always",NA
"389",2019-02-03,"GfK","Netherlands","Amstelveen "," Anonymous ","Former  ","Full-time",NA,"No","Negative","No",2,2,2,2,1,2,"Enough budget for training. Nice and intelligent colleagues.","No direction and no vision. Senior management clearly did not know what they were doing. Promises were made every one or two months, but in the end none of it happened.","When you hire skilled people, please keep them motivated and engaged."
"390",2019-02-25,"GfK",NA,NA," Anonymous ","Current  ","Full-time",NA,"No","Negative","No",1,1,1,1,1,1,"Decent location for lunch break","This is a very racist company, employees huddle in team and try to push each other out.",NA
"391",2019-01-17,"GfK","Sweden","Stockholm, Stockholm "," Hostess","Former  ","Full-time","More than 3 years","Yes","Positive","Yes",5,4,4,3,4,5,"It’s a social job, costumer contact, developing, high tempo","To make sure that both the different clients and their costumers are satisfied with their project and result","Be a problem solver, dear to be independent and creative, always have a positive attitude and a smile on your face"
"392",2019-01-26,"GfK",NA,NA," Analyst","Current  ","Full-time","More than 3 years","Yes","Neutral","No",3,3,2,3,3,3,"Variety of projects to work on for many different companies/industries.","Corporate culture is a bit ""old"" and staid.",NA
"393",2019-01-10,"GfK",NA,NA," Call Center Supervisor","Former  ","Part-time",NA,NA,NA,NA,5,4,4,5,5,4,"Great atmosphere, dynamic workplace, flexible,","small salary, stressful at times",NA
"394",2019-01-24,"GfK","US","New York, NY "," Anonymous ","Former  ","Full-time","More than 3 years","No","Neutral","Neutral",2,1,1,1,3,5,"Established, well-known brand. Dedication to a standard of research quality.","Rampant misogyny. No proper onboarding and limited professional development. Grossly underpaid unless you are a legacy employee. Successive failures to launch products and bring new value to the marketplace.","Clear out the old guard."
"395",2019-01-23,"GfK","US","Los Angeles, CA "," Senior Research Manager","Current  ","Full-time","More than 5 years",NA,NA,NA,3,3,3,3,3,3,"An environment where good relationships between managers and direct reports are common","The current organizational instability makes things somewhat uneasy",NA
"396",2019-01-24,"GfK","UK","London, England "," Project Manager","Current  ","Full-time","Less than a year","Yes","Positive","Yes",3,3,3,4,3,3,"Professionalism nice environment flexible working hours","Salary- no other cons from my perspective",NA
"397",2019-01-18,"GfK","India","New Delhi "," Anonymous ","Former  ","Full-time","More than 3 years","No","Negative",NA,2,3,1,1,1,1,"Big company, multi national.","No work and personal life balance, no proper coordination, dirty politics, bad work culture, narrow chances of growth, I do not suggest anybody to work there.",NA
"398",2019-01-02,"GfK",NA,NA," Anonymous ","Current  ",NA,"Less than a year",NA,NA,NA,5,5,5,4,3,4,"good company for freshers.good luck","I did not found any cons",NA
"399",2019-01-14,"GfK",NA,NA," Anonymous ","Former  ",NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,"relaxed culture and flexible working hours","management favour some staff more than others",NA
"400",2019-01-01,"GfK","US","New York, NY "," Sales Associate","Current  ","Full-time",NA,"Yes","Positive","Yes",5,4,5,NA,NA,NA,"aggressive working style and professional atmosphère","have no good training program",NA
"401",2019-01-07,"GfK","Singapore","Singapore"," Senior Research Associate","Former  ",NA,"More than a year","Yes","Neutral","Neutral",3,3,2,3,3,5,"- Flexible working hours
- Opportunities to try on new things","- Slightly backward in technology processes","-"
"402",2019-01-06,"GfK",NA,NA," Anonymous ","Former  ","Full-time","More than a year","Yes","Positive",NA,3,5,4,5,5,1,"It was challenging, fast-paced, interesting, thought-provoking experience with the best Custom Research team.","Lack of specialists made it extremely difficult to work due to a huge amount of projects for each researcher that demanded to stay up late at night at work very often plus working on weekends became a tradition.","Hire more people for CR so researchers wouldn't have to deal with such a huge overload of tasks."
"403",2019-01-23,"GfK","US","New York, NY "," EVP","Former  ","Full-time","More than 5 years",NA,NA,"No",1,2,3,1,1,4,"Old traditional MR Firm with good heritage.","Bad management. CEO OF CUSTOM RESEARCH UNTRUSTWORTHY. NO COMPANY DIEECTION","Sell the business before nothing is left"
"404",2019-01-16,"GfK","Japan","Tokyo "," Analyst","Former  ","Full-time","More than a year","No","Negative","Neutral",1,2,2,1,1,1,"If you accept whatever the company ask you to do, it will guarantee a reasonable treatment.
Most of the staffs are fantastic to work with.","The management and HR of this company are utterly useless. Not only they refuse to pay overtime, they try to prevent me from quitting the job.","Respect the law of the country where the business is taken place.
Pay overtime and reward those who contributed to the company."
"405",2019-01-11,"GfK","UK","London, England "," Anonymous ","Former  ","Full-time",NA,"No","Negative","No",1,1,1,1,1,2,"Some colleagues are genuinely lovely people who make your working day tolerable
The location is great
The office space is great for productivity","Managers and Directors will bad-mouth you behind your back in Skype conversations (which automatically get saved in their Outlook). If you're offering them any PA/Admin support you will stumble upon these messages.

Lack of direction

They speak in jargon and riddles and almost have a 'pitch'. Everyone says the same thing but it often seems that nobody really knows what they're talking about!","Maybe don't criticise and use offensive words on a Skype chat when said person is supposed to manage your inbox?"
"406",2018-12-13,"GfK","Australia","Sydney "," Anonymous ","Former  ","Full-time","More than a year",NA,NA,"Neutral",3,2,2,3,3,3,"- friendly team.
- easy going work environment.
- great location, easy to commute.
- flexible hour.","- not much space for the progress.
- old school tech.
- monotonous work.
- salary is lower than market rate.",NA
"407",2019-01-06,"GfK",NA,NA," Anonymous ","Former  ","Full-time",NA,"No","Negative","No",1,1,1,1,1,3,"Nothing at all was good, the whole experience was bad","Everything from salaries to work space to every single thing",NA
"408",2018-12-09,"GfK",NA,NA," Anonymous ","Current  ",NA,NA,NA,NA,NA,3,3,1,NA,NA,4,"Nice colleagues and interesting opportunities","Internal processes and salaries are not motivating.",NA
"409",2018-11-25,"GfK","Russia","Moscow "," Researcher","Former  ","Full-time","More than a year","Yes","Neutral","Neutral",4,2,2,2,3,5,"Good for starting career )","No modern ideas at all",NA
"410",2018-11-18,"GfK","Brazil","São Paulo, São Paulo "," Senior Product Manager","Current  ","Full-time","More than 3 years","Yes","Neutral","Yes",5,5,5,4,5,5,"Leadership is very strong guiding everybody","Company are changing very fast",NA
"411",2018-11-21,"GfK",NA,NA," Anonymous ","Current  ","Full-time",NA,"No","Negative","Neutral",3,3,4,1,1,4,"Salary - higher than market rate","Management - felt extremely mercenary",NA
"412",2018-11-21,"GfK",NA,NA," Research Analyst","Former  ","Full-time","More than a year","No","Neutral","Neutral",2,3,2,2,1,3,"- flexible working hours
- nice offices","- frequent overtime work
- no technological innovation
- constant changes in strategies - no clear direction; employees spent time on implementing new strategy that ends up being completely dismissed; no job security
- too much administration for nothing
- none to little possibility to learn, no trainings, educations, or seminars (except for general managers)
- very common and apparent favoritism
- …  no room for creativity, most reports and projects are repetitive with provided templates so work becomes boring very soon.Show More",NA
"413",2018-11-20,"GfK",NA,NA," Anonymous ","Current  ",NA,"More than 3 years",NA,NA,"Neutral",3,2,2,4,3,2,"Friendly environment
Opportunities for a varied workload
Role was what you made it","Long hours
Lack of long term career progression",NA
"414",2018-11-01,"GfK","Malaysia","Kuala Lumpur "," Anonymous ","Former  ","Full-time","More than 5 years",NA,NA,NA,4,NA,NA,NA,NA,NA,"Good MNC environment
Friendly colleagues
Opportunity to work with people from other countries","Low pay
Slow career advancement",NA
"415",2018-11-08,"GfK",NA,NA," Anonymous ","Current  ","Full-time",NA,NA,NA,NA,2,2,2,3,2,3,"good work balance life is at the moment the only real advantage","low salaries, slow professional growth, historical moment not positive",NA
"416",2018-11-05,"GfK","Australia","Sydney "," Account Manager","Former  ","Full-time","More than 3 years","No","Neutral","Neutral",3,2,2,3,2,3,"Was a great company to work for but a lot has changed","The pay is not great and work can be repetitive",NA
"417",2018-11-21,"GfK","UK","London, England "," Anonymous ","Former  ","Full-time",NA,"No","Negative","Neutral",1,1,2,1,1,1,"A few recognised products, outside of these stay clear","Pay, location, culture, lack of strategy/vision or leadership, account directors doing nothing but reduce margin and get in the way of researchers",NA
"418",2018-10-31,"GfK",NA,NA," Anonymous ","Current  ","Full-time",NA,"No","Neutral","Neutral",3,3,2,3,2,3,"Ask for a GfK emplyement if you're oriented to a Digital market strategy job","Do people may count in this digitalizing market?",NA
"419",2018-10-25,"GfK","Romania","Iaşi "," Project Manager","Current  ",NA,NA,"No","Neutral","Neutral",3,3,1,3,2,3,"flexibility, understanding colleagues, young colleagues,","bad organization, average salaries, not enough extra benefits",NA
"420",2018-10-18,"GfK","UK","London, England "," Research Manager","Former  ","Full-time","More than a year",NA,NA,NA,3,NA,NA,NA,NA,NA,"- Impressive client roster and opportunity to work on high-profile products
- Opportunity to work with other research teams and offer an integrated, mixed-method approach to research","- Does not understand innovation
- Internal processes for finance, proposal tracking, etc is demoralising and completely unreasonable
- Unclear vision and uninspiring culture",NA
"421",2018-10-08,"GfK","UK","London, England "," Administrative","Former  ","Full-time","Less than a year","Yes","Neutral","Neutral",4,4,3,4,4,4,"Good work dynamic, ability to work remotely","Felt a little alienated",NA
"422",2018-10-05,"GfK","Bulgaria","German "," IT Specialist","Current  ","Full-time","More than a year",NA,NA,NA,4,4,3,3,2,5,"all is well here and all is good","still searching the words to write here",NA
"423",2018-09-30,"GfK","Romania","Iaşi "," Regional Project Manager","Current  ","Full-time","More than 3 years","Yes","Neutral",NA,4,5,3,4,2,5,"Ability to choose your own time","Sometimes boring and with dead times.","Keep it up!"
"424",2018-09-28,"GfK","Croatia","Zagreb "," Project Manager","Current  ","Full-time","More than 8 years",NA,NA,NA,5,2,3,5,3,3,"All pros are about the local company (Croatia)
Excellent and informal human relations
Tolerant, understanding local management
Flexible hours and location, everything can be agreed upon","All except one department will be closed at the end of the year due global changes of direction
Globally lots of bureaucracy which slows everything down
New company culture seems too artificial","Nothing, I hope they know what they're doing - I'm a bit biased to be able to say if it makes sense."
"425",2018-10-11,"GfK","UK","London, England "," Senior PM","Current  ","Full-time","More than a year","No","Positive","Yes",3,2,3,2,2,4,"Quite flexible and stress free.","Very old mentality and processes. 50% of the comp is still in the 90's. At pen and paper. You cannot change a lot as long as the majority of employees are working there for over 20 years and are not open to new ideas or new ways of working.","Be more present"
"426",2018-10-10,"GfK",NA,NA," Anonymous ","Current  ","Full-time",NA,"No","Negative",NA,2,1,2,2,1,4,"9-5 work. Working life balance","Steep learning curve .",NA
"427",2018-09-23,"GfK","UK","London, England "," Research Manager","Former  ","Full-time","More than 3 years","No","Negative","Neutral",3,2,1,3,3,5,"Flexible working
Good work life balance. None of these silly “last in the office” games and never bullied into working late.
Nice office in the heart of Canary Wharf
Chance to work with big and interesting clients
Decent project operations support
Good, friendly teams who have a lot of industry experience
Used to have good team building exercises and parties but these has fizzled out due to lack of …  funding over timeShow More","This once great research empire is rump of its former self. Like all great empires, byzantine internal bureaucracy and arrogance around the need to change ultimately leads to being slow to adapt to a dynamic, brave new world.

In a desperate attempt to steer the titanic away from the iceberg the Research side of the business has been sold to Ipsos in pursuit of “digital”. Although no one seems to know what …  “digital” is. A lot of buzz words and execuspeak flying around.

Kafkaesque finance and proposal system makes adapting to fast changing market impossible and frustrating.

Teams seem to lack motivation and good management.

Good, young talent is leaving the business in droves due to extremely poor salaries compared to market competitors. Management doesn’t even seem to try and make people stay.

Non-existent promotion and career structures

Clients feel they have to use GfK instead of wanting to use them. External consultancy has proved this.

Years of over exposure and rigid workers councils in Germany have bled the company dry and made it impossible to adapt.

Ping pong table is annoying especially when you trying to concentrate. Tap tap tap!Show More","Good luck with the Ipsos buyout of the traditional Research business and I hope the “digital” transformation is a success.

Get better at defining what the “digital” transformation is. A lot of people genuinely don’t understand what you are trying to achieve here.

The intelligence and commitment of your staff is paramount, start paying them more and provide a better benefit package. A lot of your …  competitors are easily steeling your homegrown talent by offering substantial pay increases, “wellness” programs and ping pong tables really don’t cut it with millennials. We need more money to live!

If you want to be more “dynamic” cut back on the bureaucracy and make it easier for people to win business and acquire talent quickly (prospecting job candidates won’t wait around for you - make offers quickly).

The company was once great to work for. One of the best teams I’ve ever worked with. It’s sad to see this once great empire decline. I really hope that GfK will transform itself, but the glory days are now gone!Show More"
"428",2018-09-25,"GfK",NA,NA," Anonymous ","Former  ",NA,NA,NA,NA,NA,4,4,4,4,5,5,"Nice colleagues, good opportunity for personal development","I think there is no cons, as i experienced as intern",NA
"429",2018-09-22,"GfK","Germany","Altdorf b.Nürnberg "," Junior Data Scientist","Current  ","Full-time","Less than a year","Yes","Neutral","Yes",4,3,3,4,3,4,"A Good pool of Talent","Exciting work is always outsourced, Less Salary in comparison.",NA
"430",2018-10-04,"GfK",NA,NA," Anonymous ","Former  ",NA,NA,"Yes","Neutral","Neutral",3,3,3,3,3,3,"Good pay
Good hours
Easy work","Zero hour contract (not obliged to give you work)","Ok"
"431",2018-09-20,"GfK","India","Gurgaon, Haryana "," Research Associate","Former  ","Full-time","More than 3 years","No","Neutral","No",3,3,1,3,2,3,"Opportunities to work with different industries","Salary, work life balance, growth","Need dedicated team for business development"
"432",2018-08-29,"GfK",NA,NA," Anonymous ","Former  ","Full-time",NA,"Yes","Negative","No",4,5,3,3,2,4,"Good work/life balance, smart and competent coworkers, interesting work, opportunity to work with many teams, potential to gain exposure to clients fairly early","Low salary, stagnant industry, limited potential for growth","Have a stronger sense of the direction for the future of market research. Why do people choose to work with GfK? What are the plans to keep clients returning to work with the company?"
"433",2018-09-14,"GfK",NA,NA," Associate Director","Current  ","Full-time","More than 10 years","No","Negative","No",3,2,2,2,1,2,"There are some very good, very friendly and well meaning people working here.","Bad Senior Management, low salary , poor progression, lack of imagination, too many buzzwords. The business has now been split and research has been sold which will probably be a good thing for the research division in the end. Good luck to Digital! I think they're going to need it. I think research will end up being fine.","Buzzwords and orange trainers do not make a strategy.... feels more like marketing than strategy."
"434",2018-08-27,"GfK",NA,NA," Anonymous ","Former  ","Full-time",NA,NA,NA,NA,4,NA,NA,NA,NA,NA,"Was a perfect place to work","Nothing specific that needs to be pointed out",NA
